name,diet,period,lived_in,type,length (m),taxonomy,named_in,species,flight,,
aardonyx,herbivorous,Early Jurassic,South Africa,sauropod,8,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,2009,celestae,no,,
abelisaurus,carnivorous,Late Cretaceous,Argentina,large theropod,9,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,1985,comahuensis,no,,
achelousaurus,herbivorous,Late Cretaceous,USA,ceratopsian,6,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,1995,horneri,no,,
achillobator,carnivorous,Late Cretaceous,Mongolia,large theropod,5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,1999,giganteus,no,,
acrocanthosaurus,carnivorous,Early Cretaceous,USA,large theropod,12,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,1950,atokensis,no,,
aegyptosaurus,herbivorous,Late Cretaceous,Egypt,sauropod,15,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,1932,baharijensis,no,,
afrovenator,carnivorous,Early Cretaceous,Niger,large theropod,9,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,1944,abakensis,no,,
agilisaurus,herbivorous,Late Jurassic,China,euornithopod,1.5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,1990,louderbacki,no,,
alamosaurus,herbivorous,Late Cretaceous,USA,sauropod,21,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,1922,sanjuanensis,no,,
albertaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,7,Dinosauria Ornithischia,2007,nesmoi,no,,
albertosaurus,carnivorous,Late Cretaceous,Canada,large theropod,9,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,1914,libratus,no,,
alectrosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,1933,olseni,no,,
alioramus,carnivorous,Late Cretaceous,Mongolia,large theropod,6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,1976,remotus,no,,
allosaurus,carnivorous,Late Jurassic,USA,large theropod,12,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,1877,fragilis,no,,
alvarezsaurus,carnivorous,Late Cretaceous,Argentina,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,1991,calvoi,no,,
amargasaurus,herbivorous,Early Cretaceous,Argentina,sauropod,12,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,1991,cazaui,no,,
ammosaurus,herbivorous,Early Jurassic,USA,sauropod,5,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,1891,major,no,,
ampelosaurus,herbivorous,Late Cretaceous,France,sauropod,15,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,1995,atacis,no,,
amygdalodon,herbivorous,Mid Jurassic,Argentina,sauropod,15,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,1947,patagonicus,no,,
anchiceratops,herbivorous,Late Cretaceous,Canada,ceratopsian,6,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,1914,ornatus,no,,
anchisaurus,herbivorous,Early Jurassic,USA,sauropod,2,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,1885,polyzelous,no,,
ankylosaurus,herbivorous,Late Cretaceous,USA,armoured dinosaur,7,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,1908,magniventris,no,,
anserimimus,carnivorous,Late Cretaceous,Mongolia,large theropod,3.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,1988,planinychus,no,,
antarctosaurus,herbivorous,Late Cretaceous,Uruguay,sauropod,18,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,1929,wichmannianus,no,,
apatosaurus,herbivorous,Late Jurassic,USA,sauropod,21,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,1877,ajax,no,,
aragosaurus,herbivorous,Early Cretaceous,Spain,sauropod,18,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,1987,ischiadicus,no,,
